id,label,rank,x,y,cost,target,province,modern
50119,Circesium,90,40.449,35.172,0,0,Nine,Nine
50120,Cirta,90,6.593,36.362,0,0,Eleven,Algeria
50121,Civitas Namnetum,70,-1.558,47.214,0,0,Two,France
50122,Clusium,90,11.947,43.016,0,0,Four,Italy
50123,Clysma,80,32.568,29.958,0,0,Ten,Egypt
50124,Augusta Treverorum,90,6.681,49.761,0,0,Two,Germany
50125,Ulpia Traiana Tricensimae,80,6.445,51.668,0,0,Two,Germany
50126,Comana,80,36.33,38.337,0,0,Eight,Turkey
50127,Comum,80,9.085,45.811,0,0,Four,Italy
50128,Conimbriga,80,-8.499,40.085,0,0,One,Portugal
50129,Constantinopolis,100,28.985,41.018,0,0,Six,Turkey
50130,Coptos,100,32.805,26.006,0,0,Ten,Egypt
50131,Corduba,100,-4.78,37.884,0,0,One,Spain
50132,Corfinium,80,13.841,42.123,0,0,Four,Italy
50133,Coriosopitum,70,-2.003,54.976,0,0,Three,United Kingdom
50134,Cosa,80,11.288,42.406,0,0,Four,Italy
50135,Cuicul,80,5.727,36.322,0,0,Eleven,Algeria
50136,Cumae,80,14.045,40.853,0,0,Four,Italy
50137,Curia,70,9.53,46.848,0,0,Five,Switzerland
50138,Cyrene,90,21.867,32.824,0,0,Ten,Libya
50139,Cyrrhus,80,36.915,36.781,0,0,Nine,Nine
50140,Damascus,90,36.309,33.511,0,0,Nine,Nine
50141,Darnis,80,22.641,32.768,0,0,Ten,Libya
50142,Decetia,70,3.463,46.85,0,0,Two,France
50143,Delphi,80,22.497,38.481,0,0,Seven,Greece
50144,Dertona,80,8.864,44.896,0,0,Four,Italy
50145,Dertosa,80,0.52,40.81,0,0,One,Spain
50146,Deultum,80,27.306,42.401,0,0,Six,Bulgaria
50147,Deva,80,-2.897,53.19,0,0,Three,United Kingdom
50148,Diana Veteranorum,80,5.889,35.79,0,0,Eleven,Algeria
50149,Dierna,80,22.402,44.708,0,0,Six,Romania
50150,Thebai,80,32.652,25.701,0,0,Ten,Egypt
50151,Doclea,80,19.28,42.479,0,0,Five,Montenegro
50152,Domavium,80,19.381,44.141,0,0,Five,Bosnia & Herzegovina
50153,Dorylaion,80,30.528,39.814,0,0,Seven,Turkey
50154,Drobeta,80,22.659,44.635,0,0,Six,Romania
50155,Dura,80,40.73,34.746,0,0,Nine,Nine
50156,Durnonovaria,80,-2.435,50.71,0,0,Three,United Kingdom
50157,Durocortorum,80,4.031,49.262,0,0,Two,France
50158,Durostorum,80,27.26,44.116,0,0,Six,Bulgaria
50159,Dyrrhachium,90,19.454,41.324,0,0,Six,Albania
50160,Eburacum,90,-1.113,53.954,0,0,Three,United Kingdom
50161,Edessa,90,38.794,37.159,0,0,Nine,Turkey
50162,Eleusis,80,23.543,38.045,0,0,Seven,Greece
50163,Emerita Augusta,90,-6.347,38.915,0,0,One,Spain
50164,Emesa,80,36.716,34.734,0,0,Nine,Nine
50165,Emmaus,80,34.989,31.838,0,0,Nine,West Bank
50166,Emona,80,14.505,46.05,0,0,Four,Slovenia
50167,Emporiae,80,3.1,42.15,0,0,One,Spain
50168,Endidae,60,11.273,46.317,0,0,Four,Italy
50169,Ephesus,100,27.348,37.939,0,0,Seven,Turkey
50170,Epiphaneia,80,36.749,35.143,0,0,Nine,Nine
50171,Fanum Fortunae,80,13.016,43.844,0,0,Four,Italy
50172,Faventia,70,11.883,44.285,0,0,Four,Italy
50173,Ferentinum,80,13.252,41.692,0,0,Four,Italy
50174,Florentia,80,11.256,43.768,0,0,Four,Italy
50175,Formiae,80,13.605,41.255,0,0,Four,Italy
50176,Forum Iulii,80,6.731,43.441,0,0,Two,France
50177,Fregellanum,60,13.512,41.545,0,0,Four,Italy
50178,Gadara,80,35.733,32.061,0,0,Nine,Jordan
50179,Gades,90,-6.293,36.529,0,0,One,Spain
50180,Galacum,60,-2.592,54.171,0,0,Three,United Kingdom
50181,Gaza,90,34.458,31.51,0,0,Nine,Gaza Strip
50182,Genava,70,6.138,46.202,0,0,Two,Switzerland
50183,Genua,70,8.933,44.406,0,0,Four,Italy
50184,Germa,90,31.616,39.51,0,0,Seven,Turkey
50185,Gesoriacum,70,1.614,50.724,0,0,Two,France
50186,Glevum,80,-2.262,51.867,0,0,Three,United Kingdom
50187,Hadrianoupolis,60,26.566,41.683,0,0,Six,Turkey
50188,Hadrumetum,90,10.644,35.837,0,0,Eleven,Tunisia
50189,Heliopolis,80,31.295,30.124,0,0,Ten,Egypt
50190,Heliopolis (Baalbek),90,36.203,34.014,0,0,Nine,Lebanon
50191,Heraklea,80,21.345,41.025,0,0,Six,Macedonia
50192,Herakleopolis,80,30.941,29.086,0,0,Ten,Egypt
50193,Herdoniae,70,15.619,41.315,0,0,Four,Italy
50194,Hermopolis Magna,90,30.804,27.778,0,0,Ten,Egypt
50195,Hibis,80,30.553,25.437,0,0,Ten,Egypt
50196,Hierakonpolis,70,30.477,31.018,0,0,Ten,Egypt
50197,Hierasykaminos,70,32.683,23.068,0,0,Ten,Egypt
50198,Hippo Regius,90,7.754,36.888,0,0,Eleven,Algeria
50199,Hispalis,90,-5.997,37.382,0,0,One,Spain
50200,Histria,80,28.768,44.552,0,0,Six,Romania
50201,Iader,80,15.228,44.114,0,0,Five,Croatia
50202,Iconium,80,32.512,37.866,0,0,Eight,Turkey
50203,Ilerda,80,0.625,41.613,0,0,One,Spain
50204,Ilium,80,26.265,39.947,0,0,Seven,Turkey
50205,Interpromium,70,13.933,42.243,0,0,Four,Italy
50206,Iol Caesarea,90,2.196,36.606,0,0,Eleven,Algeria
50207,Isca,80,-2.966,51.618,0,0,Three,United Kingdom
50208,Italica,80,-6.035,37.438,0,0,One,Spain
50209,Iulia Concordia,80,12.843,45.756,0,0,Four,Italy
50210,Iuliomagus,80,-0.548,47.458,0,0,Two,France
50211,Iulium Carnicum,70,13.012,46.452,0,0,Four,Italy
50212,Iuvavum,80,13.061,47.804,0,0,Five,Austria
50213,Ierusalem,100,35.234,31.776,0,0,Nine,West Bank
50214,Kallipolis,60,26.68,40.414,0,0,Six,Turkey
50215,Kapitolias,70,35.857,32.61,0,0,Nine,Jordan
50216,Katabolos,70,35.985,36.922,0,0,Eight,Turkey
50217,Kellis,80,29.089,25.518,0,0,Ten,Egypt
50218,Klaudianon,80,33.49,26.807,0,0,Ten,Egypt
50219,Flaviopolis,70,32.197,40.806,0,0,Eight,Turkey
50220,Lacobriga,70,-4.602,42.347,0,0,One,Spain
50221,Lamasba,80,5.909,35.6,0,0,Eleven,Algeria
50222,Lambaesis,90,6.262,35.489,0,0,Eleven,Algeria
50223,Lampsacus,80,26.694,40.351,0,0,Seven,Turkey
50224,Lancia,80,-5.415,42.533,0,0,One,Spain
50225,Laodicea,80,35.785,35.521,0,0,Nine,Nine
50226,Larinum,80,14.918,41.806,0,0,Four,Italy
50227,Larissa,90,22.416,39.639,0,0,Seven,Greece
50228,Lauriacum,80,14.465,48.22,0,0,Five,Austria
50229,Legio VII,70,-5.571,42.605,0,0,One,Spain
50230,Lepcis Magna,100,14.292,32.637,0,0,Eleven,Libya
50231,Limonum,80,0.354,46.571,0,0,Two,France
50232,Lindum,80,-0.541,53.237,0,0,Three,United Kingdom
50233,Lixus,80,-6.111,35.209,0,0,One,Morocco
50234,Loium,60,0.723,49.522,0,0,Two,France
50235,Londinium,100,-0.083,51.52,0,0,Three,United Kingdom
50236,Lousonna,60,6.631,46.518,0,0,Two,Switzerland
50237,Luca,90,10.499,43.846,0,0,Four,Italy
50238,Lugdunum Cananefatium,70,4.398,52.198,0,0,Two,Netherlands
50239,Lugdunum Convenarum,80,0.559,43.038,0,0,Two,France
50240,Luguvalium,80,-2.936,54.894,0,0,Three,United Kingdom
50241,Luna,90,10.03,44.065,0,0,Four,Italy
50242,Lutetia,70,2.34,48.85,0,0,Two,France
50243,Lydda,90,34.892,31.965,0,0,Nine,Israel
50244,Lykopolis,80,31.187,27.183,0,0,Ten,Egypt
50245,Magnesia,80,27.526,37.859,0,0,Seven,Turkey
50246,Mampsoukrenai,60,34.892,37.079,0,0,Eight,Turkey
50247,Marcianopolis,90,27.437,43.315,0,0,Six,Bulgaria
50248,Mariana,70,-2.926,38.558,0,0,One,Spain
50249,Mamucio,70,-2.329,53.464,0,0,Three,United Kingdom
50250,Massilia,80,5.363,43.305,0,0,Two,France
50251,Mediolanum,100,9.187,45.463,0,0,Four,Italy
50252,Mediolanum (Gaul),80,-0.63,45.749,0,0,Two,France
50253,Melitene,90,38.371,38.43,0,0,Eight,Turkey
50254,Memphis,90,31.276,30.003,0,0,Ten,Egypt
50255,Minturnae,90,13.768,41.241,0,0,Four,Italy
50256,Misenum,80,14.084,40.785,0,0,Four,Italy
50257,Mogontiacum,90,8.256,50.007,0,0,Two,Germany
50258,Mounesis,70,30.606,24.683,0,0,Ten,Egypt
50259,Mursa,80,18.673,45.549,0,0,Five,Croatia
50260,Musti,80,9.135,36.341,0,0,Eleven,Tunisia
50261,Mutina,80,10.924,44.646,0,0,Four,Italy
50262,Myos Hormos,70,34.244,26.156,0,0,Ten,Egypt
50263,Naissus,90,21.897,43.328,0,0,Six,Serbia
50264,Narbo,90,3,43.197,0,0,Two,France
50265,Narnia,80,12.515,42.519,0,0,Four,Italy
50266,Narona,80,17.632,43.052,0,0,Five,Croatia
50267,Naucratis,80,30.607,30.854,0,0,Ten,Egypt
50268,Neapolis,90,14.233,40.84,0,0,Four,Italy
50269,Nemausus,80,4.357,43.843,0,0,Two,France
50270,Nemetacum,70,2.763,50.297,0,0,Two,France
50271,Nicaea,90,29.723,40.436,0,0,Eight,Turkey
50272,Nicomedia,90,29.924,40.77,0,0,Eight,Turkey
50273,Nicopolis,80,20.735,39.007,0,0,Six,Greece
50274,Nicopolis (Pontus),80,38.146,40.151,0,0,Eight,Turkey
50275,Nisibis,80,41.244,37.077,0,0,Nine,Turkey
50276,Novae,80,25.385,43.615,0,0,Six,Bulgaria
50277,Noviomagus,70,8.445,49.315,0,0,Two,Germany
50278,Nuceria,80,14.673,40.742,0,0,Four,Italy
50279,Ocriculum,80,12.466,42.411,0,0,Four,Italy
50280,Odessus,80,27.908,43.211,0,0,Six,Bulgaria
50281,Oea,90,13.174,32.897,0,0,Eleven,Libya
50282,Oescus,80,24.472,43.707,0,0,Six,Bulgaria
50283,Olisipo,80,-9.145,38.726,0,0,One,Portugal
50284,Omboi,80,32.95,24.466,0,0,Ten,Egypt
50285,Osca,80,-0.41,42.139,0,0,One,Spain
50286,Ostia/Portus,90,12.287,41.754,0,0,Four,Italy
50287,Ovilava,80,14.026,48.163,0,0,Five,Austria
50288,Oxyrhynchus,80,30.626,28.672,0,0,Ten,Egypt
50289,Palantia,60,-5.383,42.446,0,0,One,Spain
50290,Palmyra,90,38.285,34.559,0,0,Nine,Nine
50291,Paraetonium,80,27.225,31.356,0,0,Ten,Egypt
50292,Parma,80,10.332,44.803,0,0,Four,Italy
50293,Parthanum,60,11.085,47.491,0,0,Five,Germany
50294,Patavium,90,11.876,45.409,0,0,Four,Italy
50295,Pax Iulia,90,-7.851,37.997,0,0,One,Portugal
50296,Pella,80,22.522,40.773,0,0,Six,Greece
50297,Pelusium,90,32.567,31.043,0,0,Ten,Egypt
50298,Penne Locos,60,6.917,46.397,0,0,Two,Switzerland
50299,Perdices,70,5.367,35.845,0,0,Eleven,Algeria
50300,Pergamum,90,27.181,39.14,0,0,Seven,Turkey
50301,Perinthus,80,27.957,40.977,0,0,Six,Turkey
50302,Petra,90,35.464,30.325,0,0,Nine,Jordan
50303,Petuaria,70,-0.592,53.687,0,0,Three,United Kingdom
50304,Philadelpheia,90,35.934,31.946,0,0,Nine,Jordan
50305,Philippi,80,24.291,41.018,0,0,Six,Greece
50306,Philippopolis,90,24.735,42.146,0,0,Six,Bulgaria
50307,Pisae,90,10.396,43.715,0,0,Four,Italy
50308,Pistoriae,80,10.892,43.934,0,0,Four,Italy
50309,Placentia,90,9.698,45.051,0,0,Four,Italy
50310,Poetovio,80,15.869,46.419,0,0,Five,Slovenia
50311,Pola,80,13.84,44.869,0,0,Four,Croatia
50312,Pompeii,80,14.484,40.748,0,0,Four,Italy
50313,Pompelo,70,-1.652,42.8,0,0,One,Spain
50314,Pons Aeni,70,12.118,47.881,0,0,Five,Germany
50315,Pons Drusi,60,11.343,46.475,0,0,Four,Italy
50316,Porolissum,80,23.194,47.168,0,0,Six,Romania
50318,Potaissa,80,23.756,46.561,0,0,Six,Romania
50319,Praetorium,70,15.968,31.286,0,0,Eleven,Libya
50320,Ptolemais,90,20.95,32.707,0,0,Ten,Libya
50321,Ptolemais Hermiou,80,31.804,26.477,0,0,Ten,Egypt
50322,Puteoli,90,14.106,40.83,0,0,Four,Italy
50323,Ravenna,90,12.212,44.423,0,0,Four,Italy
50324,Reate,80,12.86,42.402,0,0,Four,Italy
50325,Castra Regina,80,12.102,49.011,0,0,Five,Germany
50326,Regium,80,15.643,38.108,0,0,Four,Italy
50327,Roma,100,12.485,41.891,0,0,Four,Italy
50328,Rusaddir,80,-2.94,35.283,0,0,One,Spain
50329,Rusicade,80,6.912,36.885,0,0,Eleven,Algeria
50330,Rutupiae,70,1.318,51.302,0,0,Three,United Kingdom
50331,Sabratha,90,12.484,32.805,0,0,Eleven,Libya
50332,Saguntum,80,-0.269,39.666,0,0,One,Spain
50333,Sala,80,-6.81,34.005,0,0,One,Morocco
50334,Saldae,80,5.071,36.762,0,0,Eleven,Algeria
50335,Salernum,80,14.765,40.677,0,0,Four,Italy
50336,Salona,90,16.5,43.531,0,0,Five,Croatia
50337,Samarobriva,70,2.287,49.892,0,0,Two,France
50338,Samosata,90,38.516,37.528,0,0,Nine,Turkey
50339,Santicum,70,13.874,46.635,0,0,Five,Austria
50340,Sardis,90,28.065,38.476,0,0,Seven,Turkey
50341,Sarmizegethusa,80,22.784,45.522,0,0,Six,Romania
50342,Satala,80,39.66,40.017,0,0,Eight,Turkey
50343,Savaria,80,16.621,47.234,0,0,Five,Hungary
50344,Scarbantia,80,16.599,47.69,0,0,Five,Hungary
50345,Scodra,80,19.511,42.065,0,0,Five,Albania
50346,Scythopolis,90,35.504,32.507,0,0,Nine,Israel
50347,Sebasteia,90,37.032,39.748,0,0,Eight,Turkey
50348,Segusio,70,7.011,45.122,0,0,Four,Italy
50349,Senia,80,14.917,44.992,0,0,Five,Croatia
50350,Serdica,90,23.333,42.73,0,0,Six,Bulgaria
50351,Servitium,70,17.263,45.134,0,0,Five,Bosnia & Herzegovina
50352,Sicca Veneria,80,8.706,36.176,0,0,Eleven,Tunisia
50353,Side,90,31.398,36.775,0,0,Seven,Turkey
50354,Siga,80,-1.466,35.257,0,0,Eleven,Algeria
50355,Singara,90,41.861,36.328,0,0,Nine,Iraq
50356,Singidunum,90,20.469,44.818,0,0,Six,Serbia
50357,Sinuessa,80,13.83,41.161,0,0,Four,Italy
50358,Sipontum,80,15.895,41.606,0,0,Four,Italy
50359,Sirmium,90,19.609,44.965,0,0,Five,Serbia
50360,Sisapo,70,-4.519,38.644,0,0,One,Spain
50361,Siscia,90,16.37,45.482,0,0,Five,Croatia
50362,Sitifis,90,5.394,36.192,0,0,Eleven,Algeria
50363,Smyrna,90,27.141,38.427,0,0,Seven,Turkey
50364,Soura,70,38.804,35.906,0,0,Nine,Nine
50365,Spinis,60,-1.233,51.4,0,0,Three,United Kingdom
50366,Spoletium,90,12.737,42.744,0,0,Four,Italy
50367,Stobi,80,21.972,41.554,0,0,Six,Macedonia
50368,Sufasar,80,2.507,36.194,0,0,Eleven,Algeria
50369,Sufetula,80,9.128,35.257,0,0,Eleven,Tunisia
50370,Summuntorium,70,10.789,48.639,0,0,Five,Germany
50371,Summus Pyreneus (West),60,-1.359,43.008,0,0,One,Spain
50372,Summus Pyreneus (East),60,-0.728,42.845,0,0,Two,Spain
50373,Syene,80,32.905,24.095,0,0,Ten,Egypt
50374,Tacape,90,10.098,33.882,0,0,Eleven,Tunisia
50375,Taliata,70,22.148,44.46,0,0,Six,Serbia
50376,Tabia,80,34.535,39.858,0,0,Eight,Turkey
50377,Tarentum,90,17.239,40.468,0,0,Four,Italy
50378,Tarracina,90,13.248,41.29,0,0,Four,Italy
50379,Tarraco,100,1.23,41.115,0,0,One,Spain
50380,Tarsus,90,34.901,36.915,0,0,Eight,Turkey
50381,Teanum,80,14.055,41.254,0,0,Four,Italy
50382,Terenouthis,70,30.816,30.431,0,0,Ten,Egypt
50383,Tergeste,80,13.771,45.648,0,0,Four,Italy
50384,Thagaste,80,7.983,36.29,0,0,Eleven,Algeria
50385,Thamugadi,80,6.472,35.503,0,0,Eleven,Algeria
50386,Thebae,80,23.318,38.321,0,0,Seven,Greece
50387,Thelepte,80,8.596,34.986,0,0,Eleven,Tunisia
50388,Thelseai,60,36.699,33.645,0,0,Nine,Nine
50389,Thessalonica,90,22.966,40.635,0,0,Six,Greece
50390,Theveste,80,8.143,35.409,0,0,Eleven,Algeria
50391,Thuburnica,80,8.46,36.53,0,0,Eleven,Tunisia
50392,Tibiscum,80,22.185,45.458,0,0,Six,Romania
50393,Tibur,80,12.797,41.963,0,0,Four,Italy
50394,Tubusuctu,80,4.834,36.668,0,0,Eleven,Algeria
50395,Ticinum,70,9.156,45.185,0,0,Four,Italy
50396,Tingi,90,-5.798,35.792,0,0,One,Morocco
50398,Tolosa,80,1.434,43.616,0,0,Two,France
50399,Tomis,80,28.643,44.188,0,0,Six,Romania
50400,Tralles,80,27.84,37.86,0,0,Seven,Turkey
50401,Trapezus,80,39.718,41.002,0,0,Eight,Turkey
50402,Tridentum,80,11.118,46.066,0,0,Four,Italy
50403,Troesmis,80,28.195,45.156,0,0,Six,Romania
50404,Tyana,80,34.616,37.828,0,0,Eight,Turkey
50405,Tyrus,90,35.198,33.277,0,0,Nine,Lebanon
50406,Valentia,80,4.889,44.929,0,0,Two,France
50407,Vappincum,70,6.033,44.546,0,0,Two,France
50408,Veldidena,60,11.394,47.26,0,0,Five,Austria
50409,Venonis,60,-1.299,52.487,0,0,Three,United Kingdom
50410,Venusia,80,15.814,40.962,0,0,Four,Italy
50411,Venta Icenorum,80,1.287,52.577,0,0,Three,United Kingdom
50412,Venta,80,-1.323,51.068,0,0,Three,United Kingdom
50413,Vercellae,80,8.416,45.33,0,0,Four,Italy
50414,Verona,90,10.994,45.439,0,0,Four,Italy
50415,Verulamium,80,-0.356,51.745,0,0,Three,United Kingdom
50416,Vesontio,80,6.002,47.224,0,0,Two,France
50417,Vibo Valentia,80,16.097,38.675,0,0,Four,Italy
50418,Vienna,90,4.878,45.524,0,0,Two,France
50419,Viminacium,80,21.233,44.736,0,0,Six,Serbia
50420,Vindobona,80,16.373,48.21,0,0,Five,Austria
50421,Viroconium,80,-2.649,52.66,0,0,Three,United Kingdom
50422,Virovesca,70,-3.324,42.549,0,0,One,Spain
50423,Virunum,90,14.415,46.702,0,0,Five,Austria
50424,Vivisco,60,6.84,46.468,0,0,Two,Switzerland
50425,Volsinii,80,11.985,42.644,0,0,Four,Italy
50426,Volubilis,80,-5.558,34.085,0,0,One,Morocco
50427,Zarai,80,5.683,35.799,0,0,Eleven,Algeria
50428,Zeugma,80,37.875,37.059,0,0,Nine,Turkey
50429,Lugdunum,100,4.818,45.758,0,0,Two,France
50430,Heraclea Pontica,90,31.419,41.282,0,0,Eight,Turkey
50431,Laodicea ad Lycum,90,29.116,37.842,0,0,Seven,Turkey
50432,Boubastis,70,31.517,30.582,0,0,Ten,Egypt
50434,Vorgium,70,-3.576,48.296,0,0,Two,France
50435,Aginnum,80,0.627,44.203,0,0,Two,France
50436,Cibyra,80,29.519,37.158,0,0,Seven,Turkey
50437,Perge,90,30.856,36.967,0,0,Seven,Turkey
50438,Phaselis,80,30.547,36.52,0,0,Seven,Turkey
50439,Myra,80,29.995,36.244,0,0,Seven,Turkey
50440,Patara,80,29.322,36.262,0,0,Seven,Turkey
50441,Xanthos,80,29.331,36.36,0,0,Seven,Turkey
50442,Amaseia,80,35.82,40.648,0,0,Eight,Turkey
50443,Phiara,60,36.602,39.863,0,0,Eight,Turkey
50444,Augustonemetum,80,3.077,45.775,0,0,Two,France
50445,Augustoritum,80,1.248,45.833,0,0,Two,France
50446,Amastris,80,32.38,41.748,0,0,Eight,Turkey
50447,Attalea,80,30.7,36.894,0,0,Seven,Turkey
50448,Ebusus,80,1.424,38.91,0,0,One,Spain
50449,Thabraca,80,8.75,36.953,0,0,Eleven,Tunisia
50450,Dianium,80,0.099,38.837,0,0,One,Spain
50451,Olbia,80,9.501,40.929,0,0,Four,Italy
50452,Paphos,90,32.414,34.758,0,0,Eight,Eight
50453,Salamis,90,33.911,35.177,0,0,Eight,Eight
50454,Seleukeia Pieria,90,35.934,36.119,0,0,Nine,Turkey
